City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
105,Cape Town,ZA,69.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
110,Arraial Do Cabo,BR,75.16,mist,-22.9661,-42.0278,Pousada Porto Praia
111,Kruisfontein,ZA,66.42,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
113,Bengkulu,ID,76.82,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
114,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
115,Lata,PT,67.93,overcast clouds,40.1629,-8.3327,Casa Maquia
117,Mar Del Plata,AR,61.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
120,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
125,Hilo,US,81.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
126,San Patricio,US,84.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
127,Bull Savanna,JM,82.54,scattered clouds,17.8868,-77.5902,Big Red's
128,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
132,Hithadhoo,MV,82.17,overcast clouds,-0.6,73.0833,Scoop Guest House
133,Tura,IN,62.13,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
134,Wanning,CN,75.6,overcast clouds,18.8003,110.3967,Paradise Hotel
135,Vao,NC,70.68,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
138,Lagoa,PT,69.51,overcast clouds,39.05,-27.9833,Casa Das Faias
139,Saint Pete Beach,US,76.08,scattered clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
140,Entre Rios,BR,86.5,broken clouds,-11.9419,-38.0844,Jambalaya Pousada
141,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
142,Requena,ES,72.14,overcast clouds,39.4883,-1.1004,Hotel Avenida
143,Tonj,SS,76.98,light rain,7.2737,28.6822,Lakan Hotel
149,Chicama,PE,63.14,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
150,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
155,Cairo,EG,83.16,scattered clouds,30.0626,31.2497,Grand Hotel
156,Sao Filipe,CV,81.0,overcast clouds,14.8961,-24.4956,Hotel Xaguate
157,Sinnamary,GF,82.71,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
165,Mlonggo,ID,76.51,light rain,-6.5333,110.7,Asia Metal Art
166,Coolum Beach,AU,68.11,overcast clouds,-26.5333,153.1,Palmer Coolum Resort
167,Matay,EG,82.29,scattered clouds,28.419,30.7792,Nag Aespen
168,East London,ZA,67.14,broken clouds,-33.0153,27.9116,Tu Casa
170,Gushikawa,JP,72.63,clear sky,26.3544,127.8686,Kirari Guest House
172,Pisco,PE,66.25,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
173,Maneadero,MX,60.1,clear sky,31.7167,-116.5667,Casa De Thompson
175,Gamba,GA,76.91,overcast clouds,-2.65,10.0,
177,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
180,Barras,BR,86.97,broken clouds,-4.2444,-42.2944,Bl2
183,Kirakira,SB,79.03,broken clouds,-10.4544,161.9205,SanBiz Lodge
184,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
185,Tezu,IN,67.77,few clouds,27.9167,96.1667,Circuit House
186,Maputo,MZ,73.08,few clouds,-25.9653,32.5892,Pestana Rovuma
