City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Tura,IN,25.5198,90.2201,62.13,64,0,2.8,clear sky
134,Wanning,CN,18.8003,110.3967,75.6,92,97,7.36,overcast clouds
135,Vao,NC,-22.6667,167.4833,70.68,66,39,10.45,scattered clouds
136,Bousse,BF,12.6606,-1.8922,99.97,13,58,10.94,broken clouds
137,Clyde River,CA,70.4692,-68.5914,21.43,86,75,14.97,light snow
138,Lagoa,PT,39.05,-27.9833,69.51,86,98,12.75,overcast clouds
139,Saint Pete Beach,US,27.7253,-82.7412,76.08,66,40,1.01,scattered clouds
140,Entre Rios,BR,-11.9419,-38.0844,86.5,46,81,8.25,broken clouds
141,Acapulco,MX,16.8634,-99.8901,80.42,74,40,4.61,scattered clouds
142,Requena,ES,39.4883,-1.1004,72.14,78,97,24.2,overcast clouds
143,Tonj,SS,7.2737,28.6822,76.98,73,80,1.14,light rain
144,Iqaluit,CA,63.7506,-68.5145,37.13,69,75,10.0,broken clouds
145,Husavik,IS,66.0449,-17.3389,33.71,99,100,24.79,overcast clouds
146,Port Lincoln,AU,-34.7333,135.8667,58.3,75,1,10.27,clear sky
147,La Ronge,CA,55.1001,-105.2842,30.45,74,90,8.05,overcast clouds
148,Hammerfest,NO,70.6634,23.6821,34.25,64,0,8.05,clear sky
149,Chicama,PE,-7.8447,-79.1469,63.14,48,28,9.42,scattered clouds
150,Salalah,OM,17.0151,54.0924,82.49,42,0,3.44,clear sky
151,Fuerte Olimpo,PY,-21.0415,-57.8738,90.68,45,42,3.62,scattered clouds
152,Sitka,US,57.0531,-135.33,37.29,87,40,4.61,scattered clouds
153,Rapid Valley,US,44.0625,-103.1463,36.59,71,90,3.0,overcast clouds
154,Kemijarvi,FI,66.7131,27.4306,35.65,99,100,5.26,overcast clouds
155,Cairo,EG,30.0626,31.2497,83.16,44,40,9.22,scattered clouds
156,Sao Filipe,CV,14.8961,-24.4956,81.0,69,85,13.06,overcast clouds
157,Sinnamary,GF,5.3833,-52.95,82.71,75,96,8.01,overcast clouds
158,Port-Cartier,CA,50.0334,-66.8654,46.74,97,100,22.84,overcast clouds
159,Tessalit,ML,20.1986,1.0114,93.96,10,90,5.77,overcast clouds
160,Ostrovnoy,RU,68.0531,39.5131,28.17,92,69,2.55,broken clouds
161,Nagykata,HU,47.4151,19.7441,54.9,58,0,6.6,clear sky
162,Flers,FR,48.7372,-0.5747,53.85,78,13,10.42,few clouds
163,Neuquen,AR,-38.9516,-68.0591,53.49,62,90,8.05,overcast clouds
164,Slatina,RO,44.4333,24.3667,52.45,67,40,6.46,scattered clouds
165,Mlonggo,ID,-6.5333,110.7,76.51,79,69,2.53,light rain
166,Coolum Beach,AU,-26.5333,153.1,68.11,74,98,5.01,overcast clouds
167,Matay,EG,28.419,30.7792,82.29,33,45,8.9,scattered clouds
168,East London,ZA,-33.0153,27.9116,67.14,88,75,13.8,broken clouds
169,Winslow,US,35.0242,-110.6974,53.78,37,1,8.05,clear sky
170,Gushikawa,JP,26.3544,127.8686,72.63,88,1,0.0,clear sky
171,Tigil,RU,57.8,158.6667,21.04,91,100,18.14,light snow
172,Pisco,PE,-13.7,-76.2167,66.25,77,75,10.36,broken clouds
173,Maneadero,MX,31.7167,-116.5667,60.1,84,5,1.01,clear sky
174,Jumla,NP,29.2747,82.1838,43.07,72,4,4.03,clear sky
175,Gamba,GA,-2.65,10.0,76.91,85,99,6.67,overcast clouds
176,Fairlie,GB,55.756,-4.8556,52.02,91,83,1.79,broken clouds
177,Bambous Virieux,MU,-20.3428,57.7575,74.21,83,40,3.44,scattered clouds
178,Lyaskelya,RU,61.7667,31.0167,43.29,95,100,6.35,overcast clouds
179,Danilovka,RU,50.3557,44.1168,45.36,60,0,4.5,clear sky
180,Barras,BR,-4.2444,-42.2944,86.97,54,78,3.71,broken clouds
181,Wapakoneta,US,40.5678,-84.1936,58.14,78,40,3.0,scattered clouds
182,Tsotilion,GR,40.2667,21.3167,44.42,75,56,4.29,broken clouds
183,Kirakira,SB,-10.4544,161.9205,79.03,84,66,8.81,broken clouds
184,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,18.41,scattered clouds
185,Tezu,IN,27.9167,96.1667,67.77,56,21,3.91,few clouds
186,Maputo,MZ,-25.9653,32.5892,73.08,81,20,3.0,few clouds
187,Lorengau,PG,-2.0226,147.2712,81.63,76,98,8.99,light rain
188,Yeppoon,AU,-23.1333,150.7333,71.38,80,86,23.0,overcast clouds
189,Djibo,BF,14.1022,-1.6306,98.98,10,89,11.45,overcast clouds
190,Torquay,GB,50.4638,-3.5143,54.59,55,5,4.0,clear sky
191,Ulaangom,MN,49.9811,92.0667,33.75,70,100,5.01,overcast clouds
192,Shakawe,BW,-18.3667,21.85,88.45,20,24,2.21,few clouds
193,Camp Verde,US,34.5636,-111.8543,73.35,27,30,4.88,scattered clouds
194,Lingao,CN,19.9103,109.6859,74.32,92,66,11.5,light rain
195,Vardo,NO,70.3705,31.1107,37.38,87,75,9.22,broken clouds
196,Arrecife,ES,28.963,-13.5477,73.47,88,0,17.27,clear sky
197,Itarema,BR,-2.9248,-39.9167,86.25,62,73,17.05,broken clouds
198,San Quintin,MX,30.4833,-115.95,64.92,73,34,6.11,scattered clouds
199,Rio Grande,BR,-32.035,-52.0986,82.51,73,44,14.52,scattered clouds
200,Igrim,RU,63.1906,64.4162,17.91,85,100,7.92,overcast clouds
201,Randfontein,ZA,-26.1844,27.702,72.91,19,0,3.49,clear sky
202,Sibut,CF,5.718,19.0739,79.07,70,92,1.03,overcast clouds
203,Senneterre,CA,48.3835,-77.2328,46.62,90,100,5.35,light rain
204,Olafsvik,IS,64.8945,-23.7142,35.76,70,15,18.75,few clouds
205,Great Yarmouth,GB,52.6083,1.7305,54.23,74,59,23.82,broken clouds
206,Reno,US,39.5296,-119.8138,57.7,59,20,1.01,few clouds
207,Faanui,PF,-16.4833,-151.75,78.62,67,100,14.23,overcast clouds
208,Ixtapa,MX,20.7,-105.2,80.22,83,2,1.01,clear sky
209,Qaqortoq,GL,60.7167,-46.0333,30.7,70,49,4.07,scattered clouds
210,Telemaco Borba,BR,-24.3239,-50.6156,65.46,95,100,2.73,overcast clouds
211,Fort-Shevchenko,KZ,44.5086,50.263,55.15,66,71,8.46,broken clouds
212,Rivne,UA,50.6231,26.2274,47.84,54,0,9.93,clear sky
213,Kiama,AU,-34.6833,150.8667,55.38,89,13,7.43,few clouds
214,Mitu,CO,1.1983,-70.1733,87.51,63,95,2.42,light rain
215,Ginda,IN,30.6945,78.4932,49.39,52,0,5.08,clear sky
216,Barcelos,PT,41.5388,-8.6151,62.92,94,100,6.04,moderate rain
217,Nome,US,64.5011,-165.4064,21.27,69,1,0.0,clear sky
218,Valparaiso,CL,-33.0393,-71.6273,58.48,86,90,8.05,mist
219,Karatau,KZ,43.1667,70.4667,42.85,63,8,2.01,clear sky
220,Inongo,CD,-1.95,18.2667,71.98,95,100,3.56,overcast clouds
221,Auki,SB,-8.7676,160.7034,76.64,90,80,4.61,heavy intensity rain
222,Zaraza,VE,9.3503,-65.3245,89.13,53,100,2.95,overcast clouds
223,Portland,US,45.5234,-122.6762,55.6,49,75,1.01,broken clouds
224,Talnakh,RU,69.4865,88.3972,-1.59,98,100,7.2,overcast clouds
225,Alyangula,AU,-13.8483,136.4192,78.67,100,40,3.44,scattered clouds
226,Korla,CN,41.7597,86.1469,49.96,42,99,4.25,overcast clouds
227,Karratha,AU,-20.7377,116.8463,73.83,64,0,9.95,clear sky
228,Coquimbo,CL,-29.9533,-71.3436,61.52,75,100,7.45,overcast clouds
229,Aquiraz,BR,-3.9014,-38.3911,86.09,67,44,13.13,scattered clouds
230,Bulnes,CL,-36.7423,-72.2985,72.36,25,100,4.94,overcast clouds
231,Zhengjiatun,CN,43.5064,123.5064,31.87,37,12,7.4,few clouds
232,Provideniya,RU,64.3833,-173.3,12.16,80,71,7.67,broken clouds
233,Svetlogorsk,BY,52.6333,29.7333,43.57,66,0,8.16,clear sky
234,Katsuura,JP,35.1333,140.3,61.11,92,96,8.5,overcast clouds
235,Morlaix,FR,48.5833,-4.0,55.47,74,75,21.85,broken clouds
236,Leningradskiy,RU,69.3833,178.4167,-0.18,93,100,8.28,overcast clouds
237,Kununurra,AU,-15.7667,128.7333,76.98,94,32,1.14,scattered clouds
238,Manching,DE,48.7166,11.4939,56.39,76,19,0.0,few clouds
239,Galich,RU,58.3797,42.3475,42.13,89,79,7.43,broken clouds
240,Malakal,SS,9.5334,31.6605,79.45,58,85,4.97,overcast clouds
241,Kuloy,RU,61.0305,42.4925,40.37,93,100,4.38,overcast clouds
242,Hokitika,NZ,-42.7167,170.9667,50.9,83,96,2.37,overcast clouds
243,Buraydah,SA,26.326,43.975,82.85,25,1,9.35,clear sky
244,Yulara,AU,-25.2406,130.9889,66.04,77,40,4.61,scattered clouds
245,Saint-Philippe,RE,-21.3585,55.7679,72.99,79,24,6.73,few clouds
246,Korem,ET,12.5058,39.5228,54.09,84,81,5.37,light rain
247,Norman Wells,CA,65.282,-126.8329,15.84,86,75,4.61,broken clouds
248,Saskylakh,RU,71.9167,114.0833,11.23,96,100,6.06,overcast clouds
249,Tutoia,BR,-2.7619,-42.2744,91.38,67,71,12.68,broken clouds
250,Vanavara,RU,60.34,102.2797,23.11,60,100,4.79,overcast clouds
251,Culebra,PR,18.303,-65.301,86.09,69,5,5.99,clear sky
252,Carnarvon,AU,-24.8667,113.6333,68.07,73,90,17.27,overcast clouds
253,Goulburn,AU,-34.75,149.7167,44.65,91,0,1.34,clear sky
254,Wyndham,US,37.6985,-77.6125,70.68,64,40,1.99,scattered clouds
255,Aparecida Do Taboado,BR,-20.0867,-51.0936,78.75,69,83,7.78,broken clouds
256,Nemuro,JP,43.3236,145.575,50.27,74,60,11.01,broken clouds
257,Viedma,AR,-40.8135,-62.9967,57.02,58,100,12.01,overcast clouds
258,Zyryanka,RU,65.75,150.85,-3.66,99,87,7.27,overcast clouds
259,Santa Isabel,BR,-23.3156,-46.2214,72.66,89,100,1.83,overcast clouds
260,Walvis Bay,NA,-22.9575,14.5053,67.15,55,0,12.66,clear sky
261,Batemans Bay,AU,-35.7167,150.1833,52.92,93,19,4.0,few clouds
262,Shubarkuduk,KZ,49.1447,56.4872,43.32,66,29,8.48,scattered clouds
263,Tateyama,JP,34.9833,139.8667,61.02,89,90,10.11,overcast clouds
264,Vadamadurai,IN,10.4667,78.0833,74.46,87,100,0.58,overcast clouds
265,Noumea,NC,-22.2763,166.4572,73.0,99,10,3.94,clear sky
266,San Rafael,AR,-34.6177,-68.3301,52.88,39,100,11.27,overcast clouds
267,Amarwara,IN,22.3,79.1667,60.98,49,44,3.09,scattered clouds
268,Dubti,ET,11.7361,41.0853,87.12,44,46,13.13,scattered clouds
269,Kulhudhuffushi,MV,6.6221,73.07,80.38,80,100,6.22,overcast clouds
270,Tubuala,PA,9.5167,-79.0333,79.34,77,100,5.41,overcast clouds
271,Moirang,IN,24.5,93.7667,63.01,94,4,1.59,clear sky
272,Kenai,US,60.5544,-151.2583,40.14,96,1,6.91,clear sky
273,Shuiji,CN,27.4214,118.345,62.71,91,93,2.24,overcast clouds
274,Camana,PE,-16.6228,-72.7111,69.28,70,100,8.1,overcast clouds
275,Harper,LR,4.375,-7.7169,81.34,77,63,9.89,broken clouds
276,Kostomuksha,RU,64.571,30.5767,40.82,97,100,4.88,overcast clouds
277,Chernaya Kholunitsa,RU,58.8511,51.7154,40.57,96,100,7.0,overcast clouds
278,Yuli,NG,9.6989,10.2744,85.15,26,91,2.89,overcast clouds
279,Manacapuru,BR,-3.2997,-60.6206,91.98,58,98,4.65,overcast clouds
280,Nara,JP,34.6851,135.8049,59.97,74,12,1.74,few clouds
281,Jose De Freitas,BR,-4.7564,-42.5756,88.75,41,60,0.22,broken clouds
282,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,82,100,13.73,moderate rain
283,Trondheim,NO,63.4305,10.3951,51.01,89,100,4.92,overcast clouds
284,Bud,US,39.447,-86.1758,59.22,80,10,12.19,clear sky
285,Ormstown,CA,45.1334,-73.9992,49.33,98,100,9.78,heavy intensity rain
286,Misratah,LY,32.3754,15.0925,73.44,57,76,7.07,broken clouds
287,Vostok,RU,46.4856,135.8833,27.9,94,82,0.81,broken clouds
288,Wenling,CN,28.3669,121.36,63.91,85,100,7.54,overcast clouds
289,Oktyabrskoye,RU,43.0645,44.7417,37.54,100,75,2.24,mist
290,Esil,KZ,51.9556,66.4042,42.48,77,67,7.72,broken clouds
291,Skjervoy,NO,70.0311,20.9714,39.45,76,70,23.17,broken clouds
292,Krasnoselkup,RU,65.7,82.4667,6.89,95,100,11.81,overcast clouds
293,Ojinaga,MX,29.5667,-104.4167,82.58,26,1,3.44,clear sky
294,Yatou,CN,37.15,122.3833,52.34,75,88,15.9,overcast clouds
295,Takoradi,GH,4.8845,-1.7554,81.3,81,85,12.8,light rain
296,Ahuimanu,US,21.4447,-157.8378,71.46,79,1,3.44,clear sky
297,Majene,ID,-3.5403,118.9707,77.86,87,100,3.76,overcast clouds
298,Padang,ID,-0.9492,100.3543,75.25,94,100,4.63,heavy intensity rain
299,Asau,RO,46.4333,26.4,47.39,86,0,0.54,clear sky
300,Zambezi,ZM,-13.5432,23.1047,77.52,46,97,1.63,overcast clouds
301,Guanica,PR,17.9716,-66.908,89.51,64,1,13.0,clear sky
302,Winona,US,43.9666,-91.7668,47.55,57,1,18.41,clear sky
303,Codrington,AU,-38.2667,141.9667,44.15,92,7,4.5,clear sky
304,Goderich,CA,43.7501,-81.7165,55.9,71,33,10.36,scattered clouds
305,Acajutla,SV,13.5928,-89.8275,89.94,49,88,3.98,overcast clouds
306,Rio Cauto,CU,20.5603,-76.9161,85.26,54,67,2.24,broken clouds
307,Kidal,ML,18.4411,1.4078,94.87,10,68,9.69,broken clouds
